genre,name,description,followers
Chill/Mainstream,,"Welcome to Drop the Bassline.  Join us in supporting artists around the world!  #BassHeads

**Exclusive & Premiere Content ONLY**

Demo + Repost Submissions: ryan@dropthebassline.com

Other Channels You Might Like: 
@futuretunesnetwork
@trvpsquad
@ahouseparty

#followyourdreams
",103849
Hip-Hop,,"Enjoy my music
Mgmt: Rick@MonsterKreative.com
",101291
Festival,Christian Bauhofer,"MUSIC/TOUR DATES/MERCH http://www.minnmusic.com/ 

MGMT:
santi@vitalmanagement.com 

BOOKING:
Jake Schneider & Wes Samuel
Madison House Inc.
Boulder, CO
Ph. 303.544.9900
Email: BookingMinnesotaDubstep@gmail.com
Website: www.madisonhouseinc.com
",108055
Trap,Oskar Steinbeck,"19 year old bass music producer.

Live Requests and Management: 
vincenzo.neidhardt@iabmusic.com



",112712
House,ETC!ETC!,"ETC!ETC! is a Robot.

Booking Inquires : Please Contact  Ben Hogan : ben@circletalentagency.com

Website : http://www.circletalentagency.com/

",126413
Trap,Snail Music,"It's all about Snail Music...

------------

Remix Inquiries & Contact info
Officialsnails@gmail.com

------------

Booking inquiry // North America - BEN HOGAN: ben@circletalentagency.com
Rest of World: Saleem@circletalentagency.com",154168
Trap,,"Booking: Ben@circletalentagency.com
∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞
MGMT: Ethan@Knctrnl.com
∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞
LOKO KREW: http://eepurl.com/bbwpk1
∞∞∞∞∞∞∞∞∞∞∞∞∞∞∞",135109
Chill/Mainstream,,"Lost in Candyland

UPCOMING SHOWS:
3/4 SAN FRANCISCO, CA **RESCHEDULED**
3/5 DALLAS, TX
3/10 COLUMBUS, OH
3/11 CINCINNATI, OH
3/12 MADISON, WI
3/17 NEW HAVEN, CT
3/18 BOSTON, MA
3/19 TOWSON, MD
3/25 SPOKANE, WA
3/26 MURFREESBORO, TN
4/1 COLORADO SPRINGS, CO
4/2 DETROIT, MI
4/8 SANTA CRUZ, CA
4/13 SAN ANTONIO, TX
4/15 HOUSTON, TX
4/16 BATON ROUGE, LA
4/29 BOULDER, CO
4/30 CHARLOTTE, NC
5/14 CHARLESTON, SC

http://candyland.wantickets.com

Mgmt:
Nima Nasseri 
nimanasseri@me.com

Booking:
Alex Chaykin 
achaykin@apanewyork.com

Press: 
niku@officialcandyland.com

Promos: 
promos@officialcandyland.com",123149
House,,"General Manager:
info@blueventgroup.com

Music:
management@beyourselfmusic.com


Bookings North/South America:
cody@amonly.com

Booking ROW:
booking@bakermatmusic.com",302330
Chill/Mainstream,Ookay,"One of the most impressive young leaders of the American trap scene, California-based Ookay (pronounced “okay”) exploded onto the scene when both his freshman and sophomore releases on Ultra Records charted in the top 10 on Beatport. Since then, he’s shown no sign of slowing down, working with some of the greatest producers in electronic music while developing a signature style that weaves across genres, reflecting influences as varied as Borgore, Diplo, DJ Snake, Showtek, Deorro, TJR, Boaz Van de Beatz, Valentino Kahn, Waveracer, Cashmere Cat, Lindsay Lowend, Skrillex, Lido, and Wiwek while always returning to a hard-hitting trap beat.

The producer and DJ has racked up credits and quickly made a name for himself with remixes of tracks like Congrorock’s “Bless Di Nation Ft. Sean Paul” and Steve Aoki, Chris Lake & Tujamo’s “Boneless.” Ookay teamed up with iconic producer Diplo to remix Avicii’s “You Make Me,” and his recent remix of “Kanye” by the Chainsmokers on Republic/Dim Mak Records layers his signature mix of dance music and hip-hop over fluttering pop vocals. His side project Coaster serves as an outlet for his love of alternative dance and house music, proving Ookay to be no one-trick trap pony. 

His much-anticipated spring single ""Bouncer,"" produced with the venerable Dutch duo Showtek, hit the top 3 Beatport overall chart after its March 2014 release and was a staple on summer festival stages across the country. Ookay has also quickly become known as a charismatic performer both on and off stage, appearing at venues like EDC Las Vegas, Electric Zoo, Red Rocks, and TomorrowWorld. His live shows are known for sleek transitions, sensitive song selections, and entertaining MC’ing from the booth. He’s also no slouch on Twitter, commenting on everything from the struggle to Shazam an unknown song to LA’s Korean BBQ scene. 

It’s no surprise that Ghost, out November 10 on Dim Mak Records, is one of the most exciting dance music releases of the fall. Promised to be “a blend of listening tracks as well as club bangers,” it fulfills that goal. Ghost is one of the too-rare records that will bring you from your morning commute, with the meditative “Ghost” and “Matters,” to 4 AM on the dance floor losing it to “Egg Drop Soup.” 

The Ghost Tour this fall and winter is sure to blow up dance floors across America, and truly solidify Ookay’s status as one of America’s premier young electronic artists. With support from such icons as Showtek and Diplo as well as Tiesto, Steve Aoki, Major Lazer, Borgore, Nervo, David Guetta, DJ Snake, Deorro, TJR, Krewella and more, it seems certain that Ookay’s star will only continue to rise.
 
North America Bookings - Circle Talent Agency - Ben Hogan ben@circletalentagency.com",158807
Trap,TJ Rozdilsky,"TJR feat. Savage - ""We Wanna Party"" is out now: https://tjr.lnk.to/wewannaparty

[BOOKINGS] North America: Hunter Williams | Hunter.Williams@caa.com // SA/Australia/Mexico: Mac Clark | Mac.Clark@caa.com // ROW: Roman Trystram | roman.trystram@caa.com
[MANAGEMENT] info@tmwrk.net [PRESS] info@tmwrk.net",282078
Chill/Mainstream,Trap City,"Founded by: Gabriel Isik & Idmon Yildiz

Follow Trap City on Snapchat: gabrielisik

Check out our label: @brednbutterrec

Any inquiries: 
officialtrapcity@gmail.com

➥ Follow Trap City:
http://trapcity.tv/youtube
http://trapcity.tv/facebook
http://trapcity.tv/twitter
http://trapcity.tv/instagram
http://trapcity.tv/vine
http://trapcity.tv/plugdj
www.trapcity.net

➥ Follow Gabriel Isik:
http://www.instagram.com/gabrielisik
http://www.facebook.com/gabrielisik9

➥ Follow Idmon Yildiz:
http://www.instagram.com/idmon
http://www.facebook.com/idmon.yildiz
",451627
Chill/Mainstream,,"MGMT :
contact@tomsize.net

Bookings (US) :
mike@circletalentagency.com

Bookings (Europe) :
arnaud@chwetproductions.com",128608
Chill/Mainstream,Buygore,"Buygore Records

Online Store: www.buygore.com/shop

Submissions: Demo@buygore.com",500632
Chill/Mainstream,Drew Taggart & Alex Pall,"Never Washed / Always Conditioned

Management:
Adam Alpert - adam@disruptormgmt.com

Booking: CAA
Hunter Williams - hunter.williams@caa.com
Mac Clark - mclark@caa.com 

Promos: thechainsmokerspromo@gmail.com

**Please include Booking@TheChainsmokers.com",544967
Chill/Mainstream,Crystal Fighters,"Sebastian, Gilbert and Graham  - New record and live dates coming in 2016. Join the mailing list - http://smarturl.it/CFsignup

LIVE Bookings ex-US
GregLowe@theagencygroup.com

DJ Booking ex-US
Sinanors@theagencygroup.com

US bookings
MTsuchii@caa.com
Kyle.Wilensky@caa.com

Management
Info@giantmenmanagement.com",2359267
Chill/Mainstream,,"Red = Trap/Bass

Blue = Future/Chill

Record Label: @ElysianRecords

Contact: 
info@superbeats.co.uk

(If you send a demo to the email above, it's being sent to the trash immediately)",103117
Chill/Mainstream,Stephan Jacobs,"West Coast Bass

Bookings@producerssocial.com

",150746
Chill/Mainstream,Herobust,"Dirty South party shit

I'm Aloud EP out now on @MadDecent: www.imaloud.herobust.com

Tickets - http://herobust.com/shows 

Merch - bit.ly/HerobustMerch


booking: hunter.williams@caa.com THE CREATIVE ARTIST AGENCY 615.383.8787

Mgmt (press): ian@octalsound.com

Mgmt (general): dex@octalsound.com",118886
Chill/Mainstream,#HDYBYZ,"#HDYNATION

LABEL:  Ultra Music  / Fool's Gold Records / Mad Decent Records

PUBLISHER:  Ultra International Music Publishing

BOOKING:  
Windish Agency (North America, South America, Asia)
Echo Location Talent Agency (UK, Europe, Australia, New Zealand)

PUBLICITY:
Justin Kleinfeld at Rephlektor Ink - justin@rephlektorink.com

MANAGEMENT:  TMWRK Management",5907876
Chill/Mainstream,,"www.crnkn.com

mgmt: 
hrh@tmwrk.net 

bookings:
ben@circletalentagency.com

    

",108185
Creative,,"|| trendsetting and shit ||

All Tracks are Pre-released @
> http://bit.do/JoinTheRevolution <

Submit Your Music --> http://artistsunlimited.co

Artwork, Video, Other Art Forms // etiquettemusique@gmail.com


Get heard // PR Services --> artistsunlimited.pr@gmail.com 



",101957
Creative,Goldroom,"Goldroom is Josh Legg, from Los Angeles, California.

goldroomtunes@gmail.com
Management: mgmt@goldroomtunes.com 

Bookings: 
Worldwide: Mtsuchii@caa.com & Jazz.Spinder@caa.com 

Press: jpage@shorefire.com",123830
Creative,,"Snapchat: selectedmusic

Submissions / Demos:
inbox@selectedbase.com



—

Selected is a Deep-House dedicated 
music-blog, dj-team & record label. 
Founded June 2013 in Berlin, Germany. 

Management:
info@selectedbase.com

Booking and Events:
booking@selectedbase.com

Licensing:
licensing@selectedbase.com

",141557
Creative,Future House / Big Room / Repost / Tomorrowland / Ultra,"★ Facebook.com/DJThomasHayden 
★ Twitter.com/DJThomasHayden
★ Info@thomashayden.co.uk",178268
Creative,,"Proactively positive music blog.

Contact:
andre@alltrapnation.com

Submissions:
http://www.alltrapnation.com/submissions",340820
Chill/Mainstream,,"Beats and bad dreams.

Download my music for FREE here -> http://bit.ly/NGHTMREmusic

-UPCOMING SHOWS-
3/11 - Denver - TrapFest
3/12 - New Orleans - BUKU
3/12 - New Orleans - BUKU Afterparty 
3/16 - Miami - Gud Vibrations (The Hangar)
3/22 - Lake Havasu - SWAT

All Tour Dates: bit.ly/NGHTMRE_Tour

-MANAGEMENT-
steven@hashtagjukelife.com
will@hashtagjukelife.com

-BOOKINGS-
North America: steve@circletalentagency.com & ben@circletalentagency.com // AUS/NZ: will@hashtagjukelife.com & anand@wearebbe.com // Asia: robb@supermodifiedagency.com

@the13thgrade",229352
Chill/Mainstream,,"18 year old music producer from Austria / Vienna.

""Dawn"" EP OUT NOW: http://smarturl.it/DawnEP 

contact: 
elias@goodlifemusic.at
matt@deckstar.com 
aaron@deckstar.com",105900
